category,SYMBOL,Quarter,Change
0,BALRAMCHIN,Jun 2019 - Sep 2019,0.3259860788863107
0,BALRAMCHIN,Mar 2019 - Jun 2019,-0.2798824297844546
0,BANCOINDIA,Sep 2021 - Dec 2021,-0.1505821474773609
0,BANCOINDIA,Sep 2019 - Dec 2019,-0.1467719461216907
0,BANCOINDIA,Jun 2019 - Sep 2019,0.1892857142857142
0,BANG,Dec 2021 - Mar 2022,0.96617050067659
0,BANKA,Sep 2021 - Dec 2021,0.2702702702702703
0,BASML,Jun 2022 - Sep 2022,0.2123809523809523
0,BASML,Dec 2019 - Mar 2020,-0.4647319629181781
0,BASML,Jun 2019 - Sep 2019,0.226350057449253
0,BASML,Sep 2018 - Dec 2018,0.1421935483870968
0,BANSWRAS,Mar 2021 - Jun 2021,0.4843607652596416
0,BANSWRAS,Mar 2020 - Jun 2020,-0.3116515837104072
